"","smoke","Health"
"1","No","Poor"
"2","No","Poor"
"3","No","Poor"
"4","No","Poor"
"5","No","Poor"
"6","No","Poor"
"7","No","Poor"
"8","No","Poor"
"9","No","Poor"
"10","No","Poor"
"11","No","Poor"
"12","Yes","Poor"
"13","Yes","Poor"
"14","Yes","Poor"
"15","Yes","Poor"
"16","Yes","Poor"
"17","Yes","Poor"
"18","Yes","Poor"
"19","No","Fair"
"20","No","Fair"
"21","No","Fair"
"22","No","Fair"
"23","No","Fair"
"24","No","Fair"
"25","No","Fair"
"26","No","Fair"
"27","No","Fair"
"28","No","Fair"
"29","No","Fair"
"30","No","Fair"
"31","No","Fair"
"32","No","Fair"
"33","No","Fair"
"34","No","Fair"
"35","No","Fair"
"36","No","Fair"
"37","No","Fair"
"38","No","Fair"
"39","No","Fair"
"40","No","Fair"
"41","No","Fair"
"42","No","Fair"
"43","No","Fair"
"44","No","Fair"
"45","No","Fair"
"46","Yes","Fair"
"47","Yes","Fair"
"48","Yes","Fair"
"49","Yes","Fair"
"50","Yes","Fair"
"51","Yes","Fair"
"52","Yes","Fair"
"53","Yes","Fair"
"54","Yes","Fair"
"55","Yes","Fair"
"56","Yes","Fair"
"57","Yes","Fair"
"58","Yes","Fair"
"59","Yes","Fair"
"60","Yes","Fair"
"61","No","Good"
"62","No","Good"
"63","No","Good"
"64","No","Good"
"65","No","Good"
"66","No","Good"
"67","No","Good"
"68","No","Good"
"69","No","Good"
"70","No","Good"
"71","No","Good"
"72","No","Good"
"73","No","Good"
"74","No","Good"
"75","No","Good"
"76","No","Good"
"77","No","Good"
"78","No","Good"
"79","No","Good"
"80","No","Good"
"81","No","Good"
"82","No","Good"
"83","No","Good"
"84","No","Good"
"85","No","Good"
"86","No","Good"
"87","No","Good"
"88","No","Good"
"89","No","Good"
"90","No","Good"
"91","No","Good"
"92","No","Good"
"93","No","Good"
"94","No","Good"
"95","No","Good"
"96","No","Good"
"97","No","Good"
"98","No","Good"
"99","No","Good"
"100","No","Good"
"101","No","Good"
"102","No","Good"
"103","Yes","Good"
"104","Yes","Good"
"105","Yes","Good"
"106","Yes","Good"
"107","Yes","Good"
"108","Yes","Good"
"109","Yes","Good"
"110","Yes","Good"
"111","Yes","Good"
"112","Yes","Good"
"113","Yes","Good"
"114","Yes","Good"
"115","Yes","Good"
"116","Yes","Good"
"117","Yes","Good"
"118","Yes","Good"
"119","No","V. Good"
"120","No","V. Good"
"121","No","V. Good"
"122","No","V. Good"
"123","No","V. Good"
"124","No","V. Good"
"125","No","V. Good"
"126","No","V. Good"
"127","No","V. Good"
"128","No","V. Good"
"129","No","V. Good"
"130","No","V. Good"
"131","No","V. Good"
"132","No","V. Good"
"133","No","V. Good"
"134","No","V. Good"
"135","No","V. Good"
"136","No","V. Good"
"137","No","V. Good"
"138","No","V. Good"
"139","No","V. Good"
"140","No","V. Good"
"141","No","V. Good"
"142","No","V. Good"
"143","No","V. Good"
"144","No","V. Good"
"145","No","V. Good"
"146","No","V. Good"
"147","No","V. Good"
"148","No","V. Good"
"149","No","V. Good"
"150","No","V. Good"
"151","No","V. Good"
"152","No","V. Good"
"153","No","V. Good"
"154","No","V. Good"
"155","No","V. Good"
"156","No","V. Good"
"157","No","V. Good"
"158","No","V. Good"
"159","No","V. Good"
"160","No","V. Good"
"161","No","V. Good"
"162","No","V. Good"
"163","No","V. Good"
"164","No","V. Good"
"165","No","V. Good"
"166","No","V. Good"
"167","No","V. Good"
"168","No","V. Good"
"169","No","V. Good"
"170","No","V. Good"
"171","No","V. Good"
"172","Yes","V. Good"
"173","Yes","V. Good"
"174","Yes","V. Good"
"175","Yes","V. Good"
"176","Yes","V. Good"
"177","Yes","V. Good"
"178","Yes","V. Good"
"179","Yes","V. Good"
"180","Yes","V. Good"
"181","Yes","V. Good"
"182","Yes","V. Good"
"183","Yes","V. Good"
"184","Yes","V. Good"
"185","No","Exc"
"186","No","Exc"
"187","No","Exc"
"188","No","Exc"
"189","No","Exc"
"190","No","Exc"
"191","No","Exc"
"192","No","Exc"
"193","No","Exc"
"194","No","Exc"
"195","No","Exc"
"196","Yes","Exc"
